Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
14/04/2020 12:51:00.000,0.004,0.004,1.031
14/04/2020 12:51:00.034,0.039,0.031,1.000
14/04/2020 12:51:00.067,0.047,0.023,0.969
14/04/2020 12:51:00.100,0.020,0.051,0.988
14/04/2020 12:51:00.134,0.035,0.059,1.023
14/04/2020 12:51:00.167,0.047,0.117,1.047
14/04/2020 12:51:00.200,0.027,0.098,1.051
14/04/2020 12:51:00.234,0.012,0.082,1.043
14/04/2020 12:51:00.267,0.020,0.102,1.074
14/04/2020 12:51:00.300,0.031,0.078,1.094
14/04/2020 12:51:00.334,0.031,0.094,1.113
14/04/2020 12:51:00.367,0.031,0.102,1.094
14/04/2020 12:51:00.400,0.012,0.090,1.035
14/04/2020 12:51:00.434,-0.012,0.102,0.988
14/04/2020 12:51:00.467,-0.035,0.121,0.949
14/04/2020 12:51:00.500,-0.059,0.121,0.918
14/04/2020 12:51:00.534,-0.078,0.113,0.867
14/04/2020 12:51:00.567,-0.098,0.121,0.828
14/04/2020 12:51:00.600,-0.121,0.156,0.746
14/04/2020 12:51:00.634,-0.184,0.184,0.730
14/04/2020 12:51:00.667,-0.281,0.188,0.703
14/04/2020 12:51:00.700,-0.387,0.277,0.652
14/04/2020 12:51:00.734,-0.527,0.477,0.648
14/04/2020 12:51:00.767,-0.660,0.449,0.672
14/04/2020 12:51:00.800,-0.867,0.355,0.617
14/04/2020 12:51:00.834,-1.074,0.492,0.477
14/04/2020 12:51:00.867,-1.238,0.535,0.465
14/04/2020 12:51:00.900,-1.320,0.406,0.430
14/04/2020 12:51:00.934,-1.285,0.457,0.348
14/04/2020 12:51:00.967,-1.176,0.449,0.363
14/04/2020 12:51:01.000,-1.145,0.477,0.414
14/04/2020 12:51:01.034,-1.109,0.559,0.461
14/04/2020 12:51:01.067,-0.969,0.465,0.449
14/04/2020 12:51:01.100,-0.844,0.402,0.418
14/04/2020 12:51:01.134,-0.766,0.488,0.422
14/04/2020 12:51:01.167,-0.711,0.469,0.414
14/04/2020 12:51:01.200,-0.691,0.422,0.387
14/04/2020 12:51:01.234,-0.719,0.484,0.352
14/04/2020 12:51:01.267,-0.797,0.500,0.363
14/04/2020 12:51:01.300,-0.863,0.457,0.355
14/04/2020 12:51:01.334,-0.941,0.430,0.387
14/04/2020 12:51:01.367,-0.984,0.430,0.371
14/04/2020 12:51:01.400,-1.023,0.422,0.375
14/04/2020 12:51:01.434,-1.145,0.426,0.391
14/04/2020 12:51:01.467,-1.223,0.383,0.387
14/04/2020 12:51:01.500,-1.430,0.410,0.441
14/04/2020 12:51:01.534,-1.445,0.445,0.449
14/04/2020 12:51:01.567,-1.242,0.348,0.359
14/04/2020 12:51:01.600,-1.098,0.316,0.344
14/04/2020 12:51:01.634,-1.105,0.371,0.309
14/04/2020 12:51:01.667,-1.047,0.367,0.270
14/04/2020 12:51:01.700,-0.906,0.348,0.207
14/04/2020 12:51:01.734,-0.781,0.289,0.176
14/04/2020 12:51:01.767,-0.656,0.309,0.141
14/04/2020 12:51:01.800,-0.617,0.281,0.176
14/04/2020 12:51:01.834,-0.566,0.258,0.160
14/04/2020 12:51:01.867,-0.559,0.301,0.160
14/04/2020 12:51:01.900,-0.570,0.344,0.168
14/04/2020 12:51:01.934,-0.613,0.359,0.199
14/04/2020 12:51:01.967,-0.676,0.375,0.199
14/04/2020 12:51:02.000,-0.793,0.441,0.215
14/04/2020 12:51:02.034,-0.957,0.445,0.238
14/04/2020 12:51:02.067,-1.070,0.422,0.258
14/04/2020 12:51:02.100,-1.305,0.445,0.246
14/04/2020 12:51:02.134,-1.496,0.359,0.234
14/04/2020 12:51:02.167,-1.305,0.430,0.207
14/04/2020 12:51:02.200,-0.977,0.398,0.160
14/04/2020 12:51:02.234,-0.984,0.402,0.184
14/04/2020 12:51:02.267,-1.113,0.387,0.250
14/04/2020 12:51:02.300,-1.090,0.422,0.293
14/04/2020 12:51:02.334,-0.930,0.395,0.254
14/04/2020 12:51:02.367,-0.762,0.418,0.270
14/04/2020 12:51:02.400,-0.688,0.387,0.285
14/04/2020 12:51:02.434,-0.691,0.406,0.273
14/04/2020 12:51:02.467,-0.750,0.461,0.254
14/04/2020 12:51:02.500,-0.824,0.445,0.285
14/04/2020 12:51:02.534,-0.840,0.430,0.285
14/04/2020 12:51:02.567,-0.867,0.438,0.262
14/04/2020 12:51:02.600,-0.918,0.438,0.273
14/04/2020 12:51:02.634,-1.035,0.453,0.285
14/04/2020 12:51:02.667,-1.137,0.406,0.258
14/04/2020 12:51:02.700,-1.375,0.465,0.277
14/04/2020 12:51:02.734,-1.648,0.520,0.328
14/04/2020 12:51:02.767,-1.434,0.332,0.172
14/04/2020 12:51:02.800,-1.070,0.195,0.148
14/04/2020 12:51:02.834,-1.117,0.371,0.152
14/04/2020 12:51:02.867,-1.203,0.512,0.094
14/04/2020 12:51:02.900,-1.125,0.480,0.020
14/04/2020 12:51:02.934,-1.070,0.344,0.016
14/04/2020 12:51:02.967,-0.867,0.281,0.020
14/04/2020 12:51:03.000,-0.691,0.313,0.016
14/04/2020 12:51:03.034,-0.590,0.336,0.000
14/04/2020 12:51:03.067,-0.531,0.320,0.004
14/04/2020 12:51:03.100,-0.504,0.313,0.020
14/04/2020 12:51:03.134,-0.496,0.320,0.043
14/04/2020 12:51:03.167,-0.539,0.395,0.055
14/04/2020 12:51:03.200,-0.629,0.449,0.055
14/04/2020 12:51:03.234,-0.727,0.484,0.063
14/04/2020 12:51:03.267,-0.824,0.469,0.113
14/04/2020 12:51:03.300,-0.965,0.504,0.148
14/04/2020 12:51:03.334,-1.211,0.559,0.141
14/04/2020 12:51:03.367,-1.414,0.543,0.184
14/04/2020 12:51:03.400,-1.254,0.516,0.234
14/04/2020 12:51:03.434,-0.953,0.398,0.211
14/04/2020 12:51:03.467,-0.922,0.426,0.215
14/04/2020 12:51:03.500,-1.148,0.523,0.250
14/04/2020 12:51:03.534,-1.184,0.547,0.258
14/04/2020 12:51:03.567,-0.980,0.480,0.254
14/04/2020 12:51:03.600,-0.762,0.508,0.246
14/04/2020 12:51:03.634,-0.695,0.547,0.246
14/04/2020 12:51:03.667,-0.707,0.555,0.227
14/04/2020 12:51:03.700,-0.785,0.496,0.250
14/04/2020 12:51:03.734,-0.867,0.480,0.266
14/04/2020 12:51:03.767,-0.902,0.441,0.246
14/04/2020 12:51:03.800,-0.922,0.434,0.219
14/04/2020 12:51:03.834,-0.941,0.449,0.184
14/04/2020 12:51:03.867,-1.020,0.414,0.176
14/04/2020 12:51:03.900,-1.059,0.352,0.090
14/04/2020 12:51:03.934,-1.023,0.363,0.000
14/04/2020 12:51:03.967,-1.379,0.652,-0.109
14/04/2020 12:51:04.000,-1.555,0.582,-0.129
14/04/2020 12:51:04.034,-1.195,0.418,-0.246
14/04/2020 12:51:04.067,-1.000,0.254,-0.281
